order,Manufacture,comment,Manufact.,Manufacturer Part Number,Material number,Type number,Planned Quantity,Unit,Planned delivery date,Creation Date,Delivered Quantity,Open Delivery Quantity,Purchasing Group,Goods receipt status,Account Assignment,Currency,Net Order Value,Unit value
1750035487,Destaco Shanghai Trading Co. Ltd.,86D60-104D800C Double pin package,DESTACO,86D60-104D800C,1196970,86D60-104D800C,4,PC,3/9/2020,12/26/2019,4,0,C06,X,B.04486.05.01,CNY,"10,523.52",2630.88
1750035487,Destaco Shanghai Trading Co. Ltd.,82M-3E030040L8 POWER CLAMP,DESTACO,82M-3E030040L8,1920293,82M-3E030040L8,1,PC,3/9/2020,12/26/2019,1,0,C06,X,B.04486.05.01,CNY,730.30,730.3
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM405-15-117 clamp arm central,DESTACO,8UM405-15-117,1920296,8UM405-15-117,1,PC,3/9/2020,12/26/2019,1,0,C06,X,B.04486.05.01,CNY,90.72,90.72
1750035487,Destaco Shanghai Trading Co. Ltd.,82M-3E030050L8 POWER CLAMP,DESTACO,82M-3E030050L8,1899870,82M-3E030050L8,66,PC,3/9/2020,12/26/2019,66,0,C06,X,B.04486.05.01,CNY,"48,319.26",732.11
1750035487,Destaco Shanghai Trading Co. Ltd.,82M-3E030063L8 POWER CLAMP,DESTACO,82M-3E030063L8,1997588,82M-3E030063L8,145,PC,3/9/2020,12/26/2019,145,0,C06,X,B.04486.05.01,CNY,"104,879.95",723.31
1750035487,Destaco Shanghai Trading Co. Ltd.,82M-3E230080L8 clamp,DESTACO,82M-3E230080L8,1908727,82M-3E230080L8,8,PC,3/9/2020,12/26/2019,8,0,C06,X,B.04486.05.01,CNY,"16,639.20",2079.9
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM801-45-204 clamp arm,DESTACO,8UM801-45-204,1022935,8UM801-45-204,8,PC,3/9/2020,12/26/2019,8,0,C06,X,B.04486.05.01,CNY,"2,103.28",262.91
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM631-25-144 clamp arm central,DESTACO,8UM631-25-144,1022934,8UM631-25-144,5,PC,3/9/2020,12/26/2019,5,0,C06,X,B.04486.05.01,CNY,453.60,90.72
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM501-45-144 Clamp Arm,DESTACO,8UM501-45-144,1175416,8UM501-45-144,52,PC,3/9/2020,12/26/2019,52,0,C06,X,B.04486.05.01,CNY,"4,717.44",90.72
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM631-45-144 Clamp Arm,DESTACO,8UM631-45-144,1025316,8UM631-45-144,39,PC,3/9/2020,12/26/2019,39,0,C06,X,B.04486.05.01,CNY,"3,538.08",90.72
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM501-15-144 Clamparm,DESTACO,8UM501-15-144,1175436,8UM501-15-144,17,PC,3/9/2020,12/26/2019,17,0,C06,X,B.04486.05.01,CNY,"1,542.24",90.72
1750035487,Destaco Shanghai Trading Co. Ltd.,8UM631-15-144 Clamp arm,DESTACO,8UM631-15-144,1025317,8UM631-15-144,83,PC,3/9/2020,12/26/2019,83,0,C06,X,B.04486.05.01,CNY,"7,529.76",90.72
